,Key,Name,Level,Series,URL,Date,Video,ImageURL,Description
0,QW0465,Five ways of seeing: 看、见、看见、看到、看出,Pre-Intermediate,Qing Wen,https://chinesepod.com/lesson-redirect?v3id=QW0465,2020-01-10,True,https://s3contents.chinesepod.com/extra/QW0465/108cafa4617764ef72e53e9272ef46a9854e06cc/images/9de4100c6bba522c134aaadb93fec44e0ee7c362.jpg,"11:19     
In this Qingwen, we answer a question on our forum from user lukeaz: There are so many ways to say ""see"", including 看、见、看见、看到、看出, how do we distinguish them? 
Let's check out how to use all the different ways to say ""see""! 
Forum post: https://forum.chinesepod.com/t/all-the-different-ways-to-say-see/3977"
1,4263,Animal Proverbs: Become a pig to catch a tiger,Intermediate,Intermediate,https://chinesepod.com/lesson-redirect?v3id=4263,2020-01-08,True,https://s3contents.chinesepod.com/4263/400906d886c213694a6fd2a9266e5925e1dabaf6/images/06a1df048c74f9f05a0b4680ef7c891f0bb5a2cf.jpg,"10:07     

Animal metaphors are prevalent in almost every language, but people from different cultures may regard the same animal differently. In Chinese proverbs, you will see a lot of animal metaphors to symbolize human actions.

 In this lesson, we're showing you three common proverbs related to pigs. They can be directly translated to ""Men are afraid of being famous, just as pigs are afraid of getting fat"", ""Disguise oneself as a pig to catch a tiger"", and ""Even though one has never eaten pork, at least one has seen pigs run"". Do you know what they actually mean? Check out these proverbs with Joy and Joshua and learn how to apply them to daily life!"
2,4423,相见恨晚——老电影,Upper Intermediate,Upper Intermediate,https://chinesepod.com/lesson-redirect?v3id=4423,2020-01-06,False,https://s3contents.chinesepod.com/4423/7bbf9e182032f14ce1602a6f18d68be7fa5e74bc/images/fcb21ca7da91b9005a899de8299827c7b2bfe0d0.jpg,“有心栽花花不开，无心插柳柳成荫。”费尽心思种下的花朵迟迟不开，随手插下的柳枝却长成一片树荫，很多事情是没有办法勉强的，人和人之间、人和事物之间的缘分非常奇妙。今天对话的男主角最近发现了他的宝藏——老电影，我们一起来看看这段跨越时代的缘分吧！
3,4272,Character mind map: 客 guest,Elementary,Elementary,https://chinesepod.com/lesson-redirect?v3id=4272,2020-01-03,True,https://s3contents.chinesepod.com/4272/733551a9c9f427728c3ad426c96d603db0764f77/images/bc5a9af18a1e14c6fb6065516913fb23a2c6f978.jpg,"9:15     


In Chinese, you often encounter single characters that have multiple related meanings. This has the potential to confuse learners because sometimes it is hard to make connections between component characters and their meanings within multiple-character words. That's why we created this Character Mind Map series, where we focus on characters and the words they make up. 


Today, we're talking about 客 and all the interesting words using this character. Let's check them out!"
4,4271,How To Use Action Complete “le” 了,Pre Intermediate,Pre Intermediate,https://chinesepod.com/lesson-redirect?v3id=4271,2019-12-31,True,https://s3contents.chinesepod.com/4271/7665f599fa49faa63a86b4e829033c1e1c6c6a10/images/7a6a20d5bdd19dca5578416bdaf4ca05d419d6a9.jpg,"10:28     
In this lesson, we're learning the action complete 了 (le). Learn how to say ""I had eight hours of sleep last night"" or ""I went shopping yesterday"" in this episode!

In a previous lesson, we learned how to use 了 (le) in its change of state function. Check it out to refresh your memory:
How to use 了 https://chinesepod.com/lessons/how-to-use-le-了"
5,4266,Is learning Chinese difficult?,Newbie,Newbie,https://chinesepod.com/lesson-redirect?v3id=4266,2019-12-27,True,https://s3contents.chinesepod.com/4266/fcd9823c3263d7fb06fa51816216c2ece6d5876c/images/e97821a046786d195e2f55127ac24df03819d23b.jpg,"11:3511:35     


In this newbie lesson, you will hear one of the most common questions that you are asked as a Chinese learner: “Is learning Chinese difficult?”
Your immediate response might be, “Yes, learning Chinese is VERY difficult!” But there’s actually a better response to that question! Find out what it is as you join Lyn and Joe for this lesson!"
6,JM0001,Chinese Love Songs (Part 1),Other,Journey into Mandopop,https://chinesepod.com/lesson-redirect?v3id=JM0001,2019-12-25,False,https://s3contents.chinesepod.com/extra/JM0001/eb2c46e704a92fe45633bb69f9f6b70a66ab67ad/images/d5c2e4d2403aa3eb7d9ff1cbb9f35dbefc9d7a22.jpg,"2019 HOLIDAY SPECIAL: In our first ever episode of Journey into Mandopop, Chi highlights the uses of simile in classic Mandarin love songs such as 恰似你的温柔 by Teresa Teng, and 童话 by Michael Wong. What is your favorite Mandarin love song? Leave us a comment down below!"
7,4426,新年特辑：回首2019，展望2020,Upper Intermediate,Upper Intermediate,https://chinesepod.com/lesson-redirect?v3id=4426,2019-12-23,False,https://s3contents.chinesepod.com/4426/f1c0ef9660a2d4d140b09b5b4c0affb9c440a01a/images/6668ef4a8fc3a690c5af9a620c186b6464f7d7eb.jpg,"This is an interview between 2 upper intermediate hosts - Peony and Diana on their involvement with Chinesepod in 2019 and their plans for the new year holidays. There is no centerpiece for this lesson. 


2019年已经临近尾声，每到年末，我们总是想要回顾即将过去的一年，做个“年终总结”。过去一年的轨迹真的非常丰富多彩：我们一起学习的课程涉及很多方面，有关于美食、生活习惯，还有新闻、古诗词等等。我们由衷感谢大家一年来的陪伴！


明年也一起学习中文吧！"
8,4262,Too Many Questions,Elementary,Elementary,https://chinesepod.com/lesson-redirect?v3id=4262,2019-12-19,True,https://s3contents.chinesepod.com/4262/4361a33d205fc0afe75f5296dffea31d4989c28b/images/195b23842564e19e17c3414edef56540d8b3d338.jpg,"11:46     


In today's lesson, we are teaching you how to ask questions using the A not A sentence structure. Practice this structure in daily conversations, but be careful not to ask too many questions in a roll though, you might upset people like the restaurant owner in today's dialogue!"
9,4265,Animal Proverbs: Can't get both fish and a bear's paw,Intermediate,Intermediate,https://chinesepod.com/lesson-redirect?v3id=4265,2019-12-17,True,https://s3contents.chinesepod.com/4265/d7469c20d2e5611ca6743b39840f1eccd826247d/images/6e4058b34401a01a16eff6593571f7f622d377e3.jpg,"9:59     


Animal metaphors are prevalent in almost every language, but people from different cultures may regard the same animal differently. In Chinese proverbs, you will see a lot of animal metaphors to symbolize human actions.

In this lesson, we're showing you three common proverbs related to fish. They can be directly translated to ""You cannot get both the fish and a bear's paw"", ""Either the fish dies or the net breaks"", and ""Fish helps water, and water helps fish"". Do you know what they actually mean? Check out these proverbs and learn how to apply them to daily life!"
